group,nseqs,sobs,coverage,shannon,shannon_lci,shannon_hci,shannoneven,invsimpson,invsimpson_lci,invsimpson_hci
deep.sed.wm1,10000,1617,0.917369,5.56832,5.523234,5.613405,0.753666,36.019242,33.881218,38.445289
deep.sed.wm2,10000,2565,0.862581,6.85508,6.822947,6.887213,0.873283,281.402121,261.679081,304.341726
deep.sed.wp2,10000,2857,0.833502,6.915742,6.88215,6.949335,0.869093,275.731512,256.317032,298.329442
deep.water.wp1,10000,769,0.957645,4.097442,4.055734,4.13915,0.616577,18.823268,18.113887,19.590481
deep.water.wp2,10000,501,0.971056,3.60032,3.563064,3.637575,0.579213,14.738408,14.236102,15.277461
marsh.sed.wm1,10000,2581,0.861471,6.874796,6.842649,6.906942,0.875113,261.418718,240.295633,286.615353
marsh.sed.wm2,10000,1605,0.914335,5.327081,5.27816,5.376002,0.72177,23.137231,21.82226,24.620854
marsh.sed.wp1,10000,2199,0.895109,6.663553,6.631627,6.695479,0.865868,237.766483,220.318751,258.217158
marsh.water.wp1,10000,2439,0.862364,6.422686,6.381985,6.463387,0.823478,83.244417,76.68305,91.03378
marsh.water.wp2,10000,740,0.954179,3.882015,3.841016,3.923014,0.587561,16.827458,16.230945,17.469497
up.soil.1.wm1,10000,743,0.967343,4.525507,4.486938,4.564076,0.684584,29.880284,28.628658,31.246369
up.soil.1.wm2,10000,902,0.955829,4.918556,4.882065,4.955046,0.722894,47.326544,45.236583,49.619005
up.soil.1.wp1,10000,1170,0.944788,5.603949,5.571165,5.636733,0.793243,110.160154,105.656283,115.065178
up.soil.1.wp2,10000,836,0.962818,5.059666,5.026138,5.093193,0.751955,64.182464,61.672977,66.904873
up.soil.2.wm1,10000,1098,0.95224,5.441364,5.406506,5.476222,0.777215,82.671888,79.250189,86.402412
up.soil.2.wm2,10000,753,0.96528,4.685401,4.649148,4.721655,0.707317,39.538709,37.979363,41.231598
up.soil.2.wp1,10000,961,0.953655,5.061667,5.024776,5.098558,0.736963,52.063867,49.854539,54.478107
up.soil.2.wp2,10000,664,0.970333,4.735505,4.703513,4.767497,0.728679,54.472294,52.719322,56.34587
wet.soil.1.wm1,10000,1869,0.906777,6.306219,6.272172,6.340266,0.837123,162.275104,152.751899,173.064987
wet.soil.1.wm2,10000,1981,0.900403,6.402196,6.367816,6.436576,0.843334,152.668559,141.729394,165.438136
wet.soil.1.wp1,10000,2064,0.91135,6.651215,6.620284,6.682146,0.871467,255.514233,238.971647,274.517506
wet.soil.1.wp2,10000,1354,0.934261,5.623136,5.585543,5.660728,0.779818,69.520302,65.290023,74.336869
wet.soil.2.wm1,10000,1944,0.900236,6.337994,6.30388,6.372108,0.836966,172.310447,162.641973,183.201276
wet.soil.2.wm2,10000,1852,0.905777,6.27056,6.236287,6.304832,0.83343,155.615187,146.417933,166.045763
wet.soil.2.wp1,10000,2242,0.880983,6.593344,6.559907,6.62678,0.8546,208.913245,195.033059,224.921313
