Sample,Site,Area,Type,Sample,
deep.sed.wm1,Weir.Marsh,deep,sed,deep,sed
deep.sed.wm2,Weir.Marsh,deep,sed,deep,sed
deep.sed.wp2,Weir.Pond,deep,sed,deep,sed
deep.water.wp1,Weir.Pond,deep,water,deep,water
deep.water.wp2,Weir.Pond,deep,water,deep,water
marsh.sed.wm1,Weir.Marsh,marsh,sed,marsh,sed
marsh.sed.wm2,Weir.Marsh,marsh,sed,marsh,sed
marsh.sed.wp1,Weir.Pond,marsh,sed,marsh,sed
marsh.water.wp1,Weir.Pond,marsh,water,marsh,water
marsh.water.wp2,Weir.Pond,marsh,water,marsh,water
up.soil.1.wm1,Weir.Marsh,up,soil,up,soil
up.soil.1.wm2,Weir.Marsh,up,soil,up,soil
up.soil.1.wp1,Weir.Pond,up,soil,up,soil
up.soil.1.wp2,Weir.Pond,up,soil,up,soil
up.soil.2.wm1,Weir.Marsh,up,soil,up,soil
up.soil.2.wm2,Weir.Marsh,up,soil,up,soil
up.soil.2.wp1,Weir.Pond,up,soil,up,soil
up.soil.2.wp2,Weir.Pond,up,soil,up,soil
wet.soil.1.wm1,Weir.Marsh,wet,soil,wet,soil
wet.soil.1.wm2,Weir.Marsh,wet,soil,wet,soil
wet.soil.1.wp1,Weir.Pond,wet,soil,wet,soil
wet.soil.1.wp2,Weir.Pond,wet,soil,wet,soil
wet.soil.2.wm1,Weir.Marsh,wet,soil,wet,soil
wet.soil.2.wm2,Weir.Marsh,wet,soil,wet,soil
wet.soil.2.wp1,Weir.Pond,wet,soil,wet,soil
